data,analista_dados,cientista_dados,engenheiro_dados,business_intelligence,power_bi,sql,analytics,jr,pleno,sr,sudeste,sul,nordeste,centro_oeste,norte
2026-08-10,1644,513,569,1825,14068,10807,6345,5,36,9,35,4,4,2,0
2026-08-11,1476,472,539,1699,12810,9863,5809,5,36,9,34,5,4,3,0
2026-08-12,1512,463,513,1715,12761,9929,5795,6,36,8,37,5,2,3,0
2026-08-13,1694,518,549,1847,14221,10992,6402,5,38,7,35,6,2,3,0
2026-08-14,1790,579,575,1964,15131,11708,6723,5,37,8,38,7,0,2,0
2026-08-15,1785,579,573,1980,15215,11647,6778,7,33,10,34,7,2,3,0
2026-08-16,1790,570,576,1980,15218,11624,6719,6,35,9,39,4,1,2,0
2026-08-17,1651,524,563,1887,14461,10958,6407,6,37,7,37,3,1,4,0
2026-08-18,1521,473,550,1738,13192,10086,5854,5,38,7,37,4,2,3,0
2026-08-19,1545,480,548,1743,13424,10264,5931,7,36,7,37,5,2,2,0
2026-08-20,1711,520,575,1884,14665,11376,6550,6,32,12,39,4,1,4,0
2026-08-21,1702,538,581,1921,14967,11390,6715,5,32,13,39,3,1,5,0
2026-08-22,1716,517,573,1932,14993,11352,6730,5,33,12,41,2,0,5,0
